idade_em_2023;cidade;nome_curso;nome_polo;distancia_polo;distancia_cidade_polo;ano_ingresso;genero;raca;estado_civil;profissao;jornada;renda_familiar;modalidade_ensino_medio;tipo_instituicao;tempo_ensino_medio;possui_graduacao;modalidade_graduacao;ja_fez_curso_ead;turno_ava;dias_acesso_ava;motivo_ead;internet_casa;local_acesso_ava;tipo_necessidade_especial;ferramenta_tecnologica;evadiu
43;Gameleiras;Educação Física - Licenciatura Plena;Monte Azul;56.159;De 100 a 200 km;2018;Masculino;Parda;Casado(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
39;Montes Claros;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;Até 50km;2018;Feminino;Parda;Casado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
51;Montes Claros;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;Até 50km;2018;Masculino;Parda;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Não;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
38;Montes Claros;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;De 50km a 100 km;2018;Masculino;Preta;Casado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Não;Tarde;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
39;Janaúba;Pedagogia - Licenciatura;Monte Azul;112.492;De 100 a 200 km;2018;Masculino;Parda;Casado(a);Outro;Até 20 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;1
37;Montes Claros;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Bocaiúva;47.647;De 50km a 100 km;2018;Masculino;Parda;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) particular(es);De 3 a 5 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Custos mais baixos para concluir o curso;Sim;Em casa;Não tenho necessidades especiais;Computador;0
44;Montes Claros;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Montes Claros;0;Moro no mesmo município do polo;2018;Feminino;Branca;Solteiro(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Sim;Presencial;Sim;Manhã;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
56;JEQUITINHONHA;Letras Português - Licenciatura;Jequitinhonha;0;Moro no mesmo município do polo;2018;Feminino;Parda;Divorciado(a);Outro;De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 3 a 5 anos;Sim;Presencial;Sim;Noite;De segunda a sexta;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;0
41;Joaíma;Educação Física - Licenciatura Plena;Joaíma;0;Até 50km;2018;Feminino;Parda;Solteiro(a);Outro;Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Autonomia nos estudos;Sim;No trabalho;Visual;Smartphone;1
41;Joaíma;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Joaíma;0;Moro no mesmo município do polo;2018;Masculino;Branca;Casado(a);Sim, atuo no serviço público (federal, estadual ou municipal);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Ensino Médio Regular;Em escola(s) pública(s);De 5 a 10 anos;Não;Não fiz outra graduação;Não;Noite;Sábados e domingos;Autonomia nos estudos;Sim;Em casa;Não tenho necessidades especiais;Computador;0
55;Joaíma;Letras Português - Licenciatura;Jequitinhonha;27.81;Até 50km;2018;Feminino;Parda;Casado(a);Outro;De 21 a 40 horas;Até 1 salário mínimo por pessoa;Ensino Médio Regular;Em escola(s) pública(s);Mais de 10 anos;Sim;Presencial;Sim;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;Sim;Em casa;Não tenho necessidades especiais;Computador;1
