idade_em_2023;nome_curso;distancia_cidade_polo;genero;raca;estado_civil;jornada;renda_familiar;tempo_ensino_medio;motivo_ead;internet_casa;evadiu
43;Educação Física - Licenciatura Plena;De 100 a 200 km;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
39;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Feminino;Parda;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
51;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
38;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;De 50km a 100 km;Masculino;Preta;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
39;Pedagogia - Licenciatura;De 100 a 200 km;Masculino;Parda;Casado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;1
37;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;De 50km a 100 km;Masculino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Custos mais baixos para concluir o curso;Sim;0
44;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Branca;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
56;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Divorciado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 3 a 5 anos;Carga horária flexível e compatível com minha realidade;Sim;0
41;Educação Física - Licenciatura Plena;Até 50km;Feminino;Parda;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;1
41;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Masculino;Branca;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;De 5 a 10 anos;Autonomia nos estudos;Sim;0
55;Letras Português - Licenciatura;Até 50km;Feminino;Parda;Casado(a);De 21 a 40 horas;Até 1 salário mínimo por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
48;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Masculino;Branca;Casado(a);De 21 a 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
62;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Preta;Casado(a);Até 20 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
36;Educação Física - Licenciatura Plena;Mais de 200 km;Feminino;Branca;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
37;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;Até 50km;Masculino;Parda;Solteiro(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
42;Pedagogia - Licenciatura;Mais de 200 km;Feminino;Preta;Casado(a);De 21 a 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
36;Educação Física - Licenciatura Plena;Moro no mesmo município do polo;Masculino;Parda;Casado(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Autonomia nos estudos;Sim;0
41;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;De 50km a 100 km;Masculino;Parda;Solteiro(a);Mais de 40 horas;De 2 a 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;0
67;Letras Português - Licenciatura;Até 50km;Masculino;Preta;Casado(a);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Carga horária flexível e compatível com minha realidade;Sim;1
33;Tecnologia em Gestão de Saúde Pública - Tecnólogo;Moro no mesmo município do polo;Feminino;Preta;Solteiro(a);Mais de 40 horas;Até 1 salário mínimo por pessoa;De 5 a 10 anos;outros;Sim;1
49;Letras Português - Licenciatura;Moro no mesmo município do polo;Feminino;Parda;Divorciado(a);Mais de 40 horas;Mais de 4 salários mínimos por pessoa;Mais de 10 anos;Facilidade de acesso às aulas e ao material didático;Sim;1
